seed,variant,dataset,condition,examples,gold_mean_token_logprob,gold_mean_logprob_delta_vs_none,gold_first_token_rank,gold_first_token_rank_delta_vs_none,gold_first_token_margin,gold_first_token_margin_delta_vs_none,f1,em,answer_contained,teacher_forced_seconds,generation_seconds,active_memory_tokens,trainable_parameter_count,trainable_parameter_percent,trainable_memory_bytes_fp32
23,residual_32,hotpotqa,routed,4,-6.894693702459335,1.1081231832504272,95.0,-791.75,-8.73828125,3.078125,0.1,0.0,0.0,0.1732797250006115,0.7515840999840293,384.0,393344.0,0.06599178807036833,1573376.0
23,residual_32,qasper,direct_text,4,-8.971986055374146,-1.791483998298645,21.5,10.5,-8.513671875,-1.740234375,0.0,0.0,0.0,0.5123003749904456,1.0520041749987286,0.0,393344.0,0.06599178807036833,1573376.0
23,residual_32,qasper,none,4,-7.1805020570755005,0.0,11.0,0.0,-6.7734375,0.0,0.125,0.0,0.5,0.14872515000752173,0.7722896500054048,0.0,393344.0,0.06599178807036833,1573376.0
23,residual_32,qasper,oracle,4,-6.507967233657837,0.6725348234176636,17.75,6.75,-5.60546875,1.16796875,0.0,0.0,0.0,0.16542045000824146,0.8087362499936717,960.0,393344.0,0.06599178807036833,1573376.0
23,residual_32,qasper,routed,4,-6.6845942735672,0.4959077835083008,20.75,9.75,-5.71875,1.0546875,0.0,0.0,0.0,0.16245925000112038,0.8251406250055879,384.0,393344.0,0.06599178807036833,1573376.0
37,fixed,hotpotqa,direct_text,4,-3.368145540356636,4.6346713453531265,318.5,-568.25,-7.578125,4.23828125,0.125,0.0,0.25,0.26897032499255147,0.794822825002484,0.0,0.0,0.0,0.0
37,fixed,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.05555555555555556,0.0,0.0,0.15897492498334032,0.7086936249979772,0.0,0.0,0.0,0.0
37,fixed,hotpotqa,oracle,4,-6.999312579631805,1.0035043060779572,236.75,-650.0,-10.423828125,1.392578125,0.05555555555555556,0.0,0.0,0.16374350000114646,0.7566074499773094,449.0,0.0,0.0,0.0
37,fixed,hotpotqa,routed,4,-7.892500400543213,0.11031648516654968,440.5,-446.25,-11.712890625,0.103515625,0.05555555555555556,0.0,0.0,0.16377817498869263,0.756681024984573,384.0,0.0,0.0,0.0
37,fixed,qasper,direct_text,4,-8.971986055374146,-1.791483998298645,21.5,10.5,-8.513671875,-1.740234375,0.0,0.0,0.0,0.5052287000144133,1.0502943000028608,0.0,0.0,0.0,0.0
