any_evidence,bridge_locality_score,budget_parents,candidate_parents,chain_completion,condition,cross_parent_transitions,dataset,evidence_coverage,exact_evidence_identity,example_id,fraction,local_entropy,local_nodes_activated_per_parent,local_nodes_explored,local_vs_parent_similarity_ratio,materialized_kv_fraction,materialized_kv_tokens,native_qk_comparisons,parent_entropy,path_depth,repeated_parent_transitions,routing_seconds,seed,semantic_gist_comparisons,unique_parents_selected
1.0,0.0,1,4,0.0,local_gist_closure,0,hotpotqa,0.5,0.0,5a7e513a5542994959419996,0.2,0.0,1.0,8,1.0,0.16430903155603918,151,0,1.3829489946365356,1,0,0.0032432000152766705,11,4,1
1.0,0,2,4,0.0,one_shot_parent,0,hotpotqa,0.5,0.0,5a7e513a5542994959419996,0.3,0,0,0,0,0.4428726877040261,407,0,0,1,0,0.0038447999977506697,11,4,2
1.0,0,2,4,0.0,parent_closure,0,hotpotqa,0.5,0.0,5a7e513a5542994959419996,0.3,0,0,0,0,0.4428726877040261,407,0,0,2,0,0.005208799964748323,11,8,2
1.0,0.23135719448328018,2,4,0.0,local_gist_closure,1,hotpotqa,0.5,0.0,5a7e513a5542994959419996,0.3,3.456803321838379,1.0,40,1.3291263278363197,0.4428726877040261,407,0,1.3814297318458557,2,1,0.009170199977234006,11,36,2
0.0,0,1,6,0.0,one_shot_parent,0,hotpotqa,0.0,0.0,5a80d6be55429938b6142206,0.1,0,0,0,0,0.17379497623896809,256,0,0,1,0,0.0029140000115148723,11,6,1
0.0,0,1,6,0.0,parent_closure,0,hotpotqa,0.0,0.0,5a80d6be55429938b6142206,0.1,0,0,0,0,0.17379497623896809,256,0,0,1,0,0.0028238000231795013,11,6,1
0.0,0.0,1,6,0.0,local_gist_closure,0,hotpotqa,0.0,0.0,5a80d6be55429938b6142206,0.1,0.0,1.0,8,1.0,0.17379497623896809,256,0,1.7887870073318481,1,0,0.0037514999858103693,11,6,1
0.0,0,2,6,0.0,one_shot_parent,0,hotpotqa,0.0,0.0,5a80d6be55429938b6142206,0.2,0,0,0,0,0.34758995247793617,512,0,0,1,0,0.004494900000281632,11,6,2
0.0,0,2,6,0.0,parent_closure,0,hotpotqa,0.0,0.0,5a80d6be55429938b6142206,0.2,0,0,0,0,0.34758995247793617,512,0,0,2,0,0.0052204999956302345,11,12,2
0.0,0.5783640630543232,2,6,0.0,local_gist_closure,1,hotpotqa,0.0,0.0,5a80d6be55429938b6142206,0.2,3.850729465484619,1.0,56,2.3034487073969308,0.34758995247793617,512,0,1.7823141813278198,2,1,0.009604800026863813,11,54,2
0.0,0,2,6,0.0,one_shot_parent,0,hotpotqa,0.0,0.0,5a80d6be55429938b6142206,0.3,0,0,0,0,0.34758995247793617,512,0,0,1,0,0.0037383000017143786,11,6,2
0.0,0,2,6,0.0,parent_closure,0,hotpotqa,0.0,0.0,5a80d6be55429938b6142206,0.3,0,0,0,0,0.34758995247793617,512,0,0,2,0,0.005050399980973452,11,12,2
