git_sha,seed,model_tier,position_mode,k_storage_mode,logical_offset_policy,stage,layer_id,native_context,logical_context,position_capacity,overlap_fraction,routing_chunk_size,materialization_budget,maximum_native_operation,dense_counterfactual_tokens,processed_tokens,encoding_cost_ratio,native_k_rmse,native_k_cosine
d36f6775270125cd198543b77dc114e6018ee67a,21,small,absolute,post_position,source_relative,offset_overlap_50,2,32,128,192,0.5,32,160,32,128,176,1.375,0.07670433074235916,0.9950028657913208
d36f6775270125cd198543b77dc114e6018ee67a,21,small,absolute,post_position,source_relative,offset_overlap_50,3,32,128,192,0.5,32,160,32,128,176,1.375,0.10027585178613663,0.9937527179718018
d36f6775270125cd198543b77dc114e6018ee67a,42,small,absolute,post_position,reset,reset,0,32,128,192,0.0,32,160,32,128,128,1.0,0.6722326278686523,0.606607973575592
d36f6775270125cd198543b77dc114e6018ee67a,42,small,absolute,post_position,reset,reset,1,32,128,192,0.0,32,160,32,128,128,1.0,0.7503641247749329,0.5699629187583923
d36f6775270125cd198543b77dc114e6018ee67a,42,small,absolute,post_position,reset,reset,2,32,128,192,0.0,32,160,32,128,128,1.0,0.9288834929466248,0.47484198212623596
d36f6775270125cd198543b77dc114e6018ee67a,42,small,absolute,post_position,reset,reset,3,32,128,192,0.0,32,160,32,128,128,1.0,0.8935033082962036,0.3753252327442169
d36f6775270125cd198543b77dc114e6018ee67a,42,small,absolute,post_position,source_relative,offset,0,32,128,192,0.0,32,160,32,128,128,1.0,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,42,small,absolute,post_position,source_relative,offset,1,32,128,192,0.0,32,160,32,128,128,1.0,0.34254026412963867,0.9307931661605835
d36f6775270125cd198543b77dc114e6018ee67a,42,small,absolute,post_position,source_relative,offset,2,32,128,192,0.0,32,160,32,128,128,1.0,0.4602892994880676,0.8705777525901794
d36f6775270125cd198543b77dc114e6018ee67a,42,small,absolute,post_position,source_relative,offset,3,32,128,192,0.0,32,160,32,128,128,1.0,0.46046802401542664,0.838575005531311
d36f6775270125cd198543b77dc114e6018ee67a,42,small,absolute,post_position,source_relative,offset_overlap_25,0,32,128,192,0.25,32,160,32,128,152,1.1875,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,42,small,absolute,post_position,source_relative,offset_overlap_25,1,32,128,192,0.25,32,160,32,128,152,1.1875,0.31683847308158875,0.9425989985466003
d36f6775270125cd198543b77dc114e6018ee67a,42,small,absolute,post_position,source_relative,offset_overlap_25,2,32,128,192,0.25,32,160,32,128,152,1.1875,0.41500937938690186,0.8972681760787964
d36f6775270125cd198543b77dc114e6018ee67a,42,small,absolute,post_position,source_relative,offset_overlap_25,3,32,128,192,0.25,32,160,32,128,152,1.1875,0.4327085316181183,0.8577987551689148
d36f6775270125cd198543b77dc114e6018ee67a,42,small,absolute,post_position,source_relative,offset_overlap_50,0,32,128,192,0.5,32,160,32,128,176,1.375,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,42,small,absolute,post_position,source_relative,offset_overlap_50,1,32,128,192,0.5,32,160,32,128,176,1.375,0.32622629404067993,0.9398247599601746
d36f6775270125cd198543b77dc114e6018ee67a,42,small,absolute,post_position,source_relative,offset_overlap_50,2,32,128,192,0.5,32,160,32,128,176,1.375,0.46748682856559753,0.8685095310211182
d36f6775270125cd198543b77dc114e6018ee67a,42,small,absolute,post_position,source_relative,offset_overlap_50,3,32,128,192,0.5,32,160,32,128,176,1.375,0.5637001991271973,0.7691609859466553
d36f6775270125cd198543b77dc114e6018ee67a,87,small,absolute,post_position,reset,reset,0,32,128,192,0.0,32,160,32,128,128,1.0,0.6455445885658264,0.6349510550498962
d36f6775270125cd198543b77dc114e6018ee67a,87,small,absolute,post_position,reset,reset,1,32,128,192,0.0,32,160,32,128,128,1.0,0.7195177674293518,0.6111751794815063
